k,summ
0,72
6,76
7,64
8,19
9,73
11,82
24,57
25,73
34,48
35,43
38,85
42,94
45,30
46,64
48,37
56,65
57,43
59,27
60,49
61,56
62,67
63,34
79,38
80,90
81,78
82,40
89,21
92,86
94,36
96,17
98,35
99,58
105,28
107,35
110,20
115,87
116,27
117,9
125,43
127,48
129,96
133,33
139,39
145,94
146,53
149,55
159,47
166,34
180,74
189,35
192,34
194,63
198,51
200,10
204,68
208,29
214,27
220,92
221,80
225,68
234,86
237,1
245,88
248,45
249,63
254,3
267,32
271,39
286,56
289,100
291,72
294,32
296,21
297,81
298,7
300,59
301,48
304,76
309,33
316,58
317,94
318,18
320,22
324,30
330,4
331,72
335,35
336,46
337,33
339,94
345,39
348,94
351,92
357,66
360,53
362,65
366,24
368,18
370,75
373,99
374,45
377,68
391,23
396,90
402,74
409,24
410,87
412,42
424,43
425,85
428,72
431,50
432,77
435,44
437,84
439,31
443,6
451,36
462,99
463,44
470,45
475,29
481,10
486,93
491,40
493,15
495,80
505,52
510,41
513,42
514,54
518,19
529,42
536,78
542,51
544,96
549,48
553,76
557,50
558,10
559,32
560,57
563,92
569,45
573,89
580,29
588,79
589,4
590,47
591,97
592,27
605,51
609,74
613,39
616,36
625,88
628,52
636,89
645,2
647,48
649,85
650,89
654,76
657,61
670,25
671,73
679,31
682,19
683,66
684,25
689,71
699,25
700,94
707,31
711,22
718,48
719,5
721,9
726,15
727,59
733,30
735,42
742,25
745,56
749,31
754,97
756,6
760,76
762,14
766,21
768,31
779,64
788,41
797,72
798,11
799,34
806,75
809,40
813,20
816,88
819,31
826,60
835,100
839,45
843,39
845,9
846,59
849,100
856,99
857,54
859,89
861,100
866,41
868,28
872,34
875,51
879,49
883,73
884,51
885,2
895,88
904,64
906,75
912,33
919,11
922,14
925,94
927,79
929,89
931,74
933,24
936,94
939,19
946,42
949,34
950,32
952,19
958,16
960,78
961,61
962,49
963,95
964,14
968,81
970,85
985,91
987,43
993,4
996,92
1004,71
1016,46
1018,27
1019,16
1023,42
1026,84
1029,99
1031,50
1034,48
1037,38
1044,43
1048,10
1049,62
1050,8
1053,22
1054,67
1055,41
1057,69
1059,52
1060,18
1061,81
1062,1
1067,85
1068,35
1071,13
1074,46
1078,15
1079,15
1083,18
1085,5
1086,51
1087,39
1100,30
1103,89
1107,79
1109,73
1113,79
1115,85
1117,64
1118,24
1120,31
1122,60
1124,12
1126,42
1130,22
1136,72
1137,79
1143,14
1146,99
1147,28
1148,1
1158,93
1171,12
1174,43
1181,59
1187,52
1190,71
1192,57
1193,83
1195,68
1199,38
1203,46
1211,49
1216,92
1222,60
1223,52
1226,3
1229,8
1230,9
1244,6
1245,4
1246,92
1251,42
1252,46
1253,47
1257,65
1268,1
1274,97
1278,59
1283,85
1284,78
1293,74
1298,25
1299,75
1307,4
1311,51
1312,98
1320,10
1322,39
1323,46
1325,94
1326,37
1331,20
1332,47
1336,47
1338,40
1339,31
1351,53
1358,91
1359,93
1369,6
1382,30
1383,61
1385,80
1390,69
1391,9
1393,73
1395,36
1396,20
1397,77
1398,98
1404,4
1407,55
1411,51
1412,23
1416,74
1417,67
1427,56
1434,79
1438,28
1439,26
1440,16
1441,29
1445,15
1447,92
1460,32
1467,61
1469,59
1470,97
1476,83
1479,35
1488,56
1491,15
1495,58
1496,85
1513,9
1514,96
1515,13
1516,5
1524,34
1527,70
1545,8
1546,63
1552,99
1557,80
1562,92
1564,69
1568,95
1569,83
1571,82
1574,41
1577,27
1587,81
1603,18
1604,11
1610,68
1611,8
1612,3
1614,38
1616,14
1618,6
1621,55
1625,22
1628,93
1637,96
1641,15
1642,12
1643,22
1644,99
1647,7
1660,39
1661,17
1668,20
1672,54
1675,68
1680,13
1685,75
1691,22
1703,61
1709,97
1710,32
1715,37
1717,28
1725,70
1728,11
1731,72
1732,41
1738,43
1740,14
1741,24
1748,35
1749,88
1750,5
1756,52
1766,73
1767,24
1773,56
1776,2
1785,79
1786,75
1792,71
1800,80
1807,40
1808,18
1812,30
1818,68
1820,53
1830,74
1832,66
1835,68
1839,51
1842,68
1845,48
1855,31
1864,97
1865,51
1866,100
1870,29
1874,59
1877,18
1883,39
1891,50
1894,38
1904,18
1916,97
1918,5
1921,82
1922,71
1928,89
1931,94
1939,34
1948,57
1949,60
1960,21
1971,30
1974,25
1977,90
1978,59
1980,15
1987,64
1995,61
1997,91
