k,summ
2,5730
4,3245
6,3630
8,3751
13,1668
26,2800
27,3696
33,2600
37,10440
52,1992
53,9585
61,2040
65,8450
68,4464
74,17748
76,4906
84,8064
88,3590
93,2784
113,4809
116,5012
120,7120
126,1010
131,3392
134,6584
137,5720
154,15939
156,7750
162,4376
168,4580
172,1824
177,3285
178,8352
187,10764
196,5496
198,2030
212,9780
213,3410
215,4932
216,3384
226,3624
235,2340
237,6050
245,4960
261,6019
268,2730
272,3212
280,7774
290,13072
295,4192
313,21696
326,2989
329,4884
335,2365
343,7267
344,3346
345,7798
347,3091
356,3305
364,8428
367,6180
374,4912
386,3276
398,5908
410,8565
413,2670
420,18101
422,7336
428,3212
429,2448
432,4407
434,8820
444,4584
446,5110
453,2933
463,1044
464,836
466,2844
473,27525
480,4670
481,5610
483,2715
484,10218
493,2088
494,2130
495,2629
497,3120
501,7579
502,5964
503,4932
515,4680
516,5376
532,4745
537,4518
541,4053
573,2872
575,7932
576,25872
585,8960
596,4452
601,5610
606,6523
609,7224
613,2849
615,4480
616,13000
621,3984
630,9920
635,6831
642,5280
643,7104
656,3955
657,3864
664,2832
666,4739
668,9975
673,2940
676,6566
679,13680
681,6811
682,3608
692,2376
693,5624
696,13129
701,1760
702,24864
703,3717
705,1881
713,5868
715,3393
716,4080
727,6225
729,4356
734,5688
735,3252
741,4260
742,9420
745,8856
747,7155
757,10776
762,15008
763,4100
775,3262
788,7072
793,2036
808,6336
811,3374
815,37212
816,2850
826,2112
828,9210
830,19422
832,3984
835,6864
846,6006
862,20640
865,3240
874,3012
883,9816
885,7966
886,7368
893,10740
894,8624
898,4664
900,5180
905,4459
907,5400
910,3858
912,6012
918,3680
929,10676
934,7420
951,21242
958,1845
960,5240
961,7072
965,7641
968,2470
979,5278
985,3762
988,7590
1001,7294
1002,1550
1021,1528
1029,17984
1030,1824
1033,6208
1048,4169
1049,2626
1054,9432
1056,3880
1060,5990
1070,5131
1074,4312
1077,1765
1100,5984
1104,3950
1113,4680
1116,2080
1134,5100
1137,1904
1142,6290
1144,16272
1151,8370
1154,9422
1168,2058
1173,2212
1190,8283
1193,5412
1197,6435
1201,3520
1211,3624
1212,5890
1216,4680
1217,5292
1237,2932
1238,8676
1244,1554
1246,4060
1257,3064
1260,6504
1264,2744
1269,7624
1279,3520
1290,4788
1307,2184
1308,1661
1320,6244
1322,3588
1333,3341
1340,7670
1341,4784
1345,4050
1357,3717
1359,4939
1383,4615
1388,3429
1396,1245
1399,12452
1409,5220
1413,5328
1414,3976
1415,6036
1422,6039
1424,4890
1426,11100
1434,6936
1435,2674
1448,9058
1457,6699
1460,3416
1470,5512
1471,7308
1485,5388
1487,4039
1499,2676
1505,2367
1512,6842
1518,4840
1524,17640
1534,3070
1535,4860
1536,20916
1537,7770
1540,5406
1545,11539
1550,4381
1551,6957
1553,2405
1554,7389
1556,21488
1562,5020
1563,4710
1566,1169
1569,5054
1574,3052
1580,3514
1582,7938
1590,4400
1596,3940
1605,3780
1609,374
1616,6513
1622,3010
1623,2534
1629,8800
1632,4627
1638,3393
1639,7252
1642,2478
1651,8060
1653,4830
1659,1530
1660,4760
1667,4570
1670,1750
1673,2345
1675,2387
1682,1738
1684,5175
1688,23952
1690,5600
1691,6088
1696,8272
1701,3520
1709,50257
1712,9960
1730,5400
1736,21378
1737,7904
1746,2875
1759,5931
1778,3794
1784,7085
1787,4650
1792,10665
1794,4654
1802,4472
1805,9045
1807,15916
1811,2360
1813,2520
1815,5610
1830,2778
1833,6104
1834,3580
1846,19080
1847,6204
1848,3440
1851,5100
1856,7470
1866,1212
1868,12820
1870,7140
1879,4640
1880,5712
1889,5814
1894,10488
1901,4956
1906,5603
1907,5112
1909,6292
1914,6890
1917,4608
1920,4510
1921,9834
1922,36801
1930,4630
1933,8775
1936,786
1946,5472
1950,6325
1957,3633
1958,4728
1961,9300
1964,3045
1966,17115
1968,3816
1974,9780
1976,26410
1982,2808
1990,2547
1991,2154
1992,6912
1995,2730
2002,1450
2019,1127
2036,3016
2037,4032
2046,17626
2060,6960
2067,4810
2068,3388
2075,738
2084,5621
2093,4131
2097,4046
2100,11490
2114,4800
2116,3787
2125,3816
2139,3230
2140,888
