k,summ
11,8036
17,4390
33,1804
43,5148
54,3050
55,2160
56,20620
57,13870
58,5916
66,423
72,4113
75,3703
78,25704
89,4768
96,4970
97,2992
99,8880
109,5229
110,3240
114,6624
115,5776
123,5229
132,3432
139,4236
142,4074
143,23331
146,1395
151,4361
154,4696
160,11427
162,324
172,8076
174,2844
183,10615
194,6848
198,1507
204,4445
208,4960
235,4872
242,5811
244,8010
257,2628
262,6877
265,1510
278,4389
293,4212
301,1265
310,5866
313,10879
321,5432
326,5283
332,5684
339,6160
353,5112
356,4360
371,5280
375,2856
380,5040
390,4207
392,5290
393,10540
394,4848
398,6390
401,7884
413,2303
414,6867
415,9024
417,4512
420,2688
428,5250
432,6072
441,6226
446,9472
460,3598
461,1518
463,6426
469,4200
472,2718
477,5664
482,2964
483,2793
484,1665
487,8244
491,16700
494,3690
495,6040
496,14326
510,3445
515,4500
521,8450
526,9622
533,3514
539,2620
554,2220
560,2344
579,4025
580,5157
592,7029
601,8970
608,4116
617,2840
623,2696
626,18816
633,7147
634,6825
635,6320
641,3090
645,3376
659,3800
664,5852
666,24696
677,22176
680,3080
682,3990
686,3576
695,4002
700,830
704,7271
708,7546
709,3224
713,7170
715,7106
716,12768
733,3928
735,7854
749,2238
752,9763
754,2690
759,5488
768,528
771,8280
773,10928
777,530
781,14314
787,2387
788,10724
791,6168
798,6776
800,8184
805,3255
808,4728
821,6456
822,2997
823,2892
830,5880
846,3660
847,5360
848,2335
850,3112
854,3689
856,5070
859,6643
860,7812
874,3968
877,4102
878,5390
882,4368
888,2163
890,21240
903,2563
918,1656
919,3020
922,3204
923,5445
929,6864
942,8930
946,5040
948,40325
949,1793
959,2864
964,4972
972,3176
976,6208
978,7644
980,4860
982,4293
988,7524
1001,1680
1004,7240
1024,4074
1028,6500
1030,1365
1032,5379
1037,7320
1040,3729
1044,5270
1050,8736
1059,3456
1063,5166
1066,4872
1068,3650
1070,49404
1073,6480
1079,4590
1088,3630
1093,1408
1107,2425
1112,4860
1114,10659
1115,3906
1117,6209
1126,4545
1134,16578
1138,1896
1139,3950
1159,6230
1160,1000
1185,3348
1189,6498
1202,4790
1213,2610
1215,15525
1216,2968
1227,4980
1234,4626
1241,21964
1249,6171
1253,3437
1263,2696
1270,11187
1272,8868
1279,8148
1281,3809
1291,5300
1295,5161
1313,5038
1329,9554
1338,5530
1340,7007
1343,2375
1351,22382
1353,2100
1359,8229
1363,7322
1368,5159
1375,8442
1383,9153
1384,2750
1387,14365
1395,2678
1396,5593
1399,7728
1409,6094
1414,8530
1429,7854
1430,9375
1431,3575
1437,4767
1447,4879
1454,4515
1455,31108
1458,8272
1470,7740
1487,3896
1496,7820
1508,3654
1521,5526
1524,6640
1530,3354
1539,7480
1541,4900
1547,1144
1551,6184
1563,4950
1577,60450
1581,6260
1594,9100
1595,6190
1596,6630
1604,4473
1605,5880
1608,3843
1616,1878
1621,7657
1624,10704
1627,4239
1628,5214
1629,2898
1630,5668
1633,6314
1642,5660
1645,3682
1650,4104
1655,3717
1656,11264
1657,6058
1678,4488
1684,5018
1687,12490
1689,2904
1700,15570
1705,4644
1712,4200
1716,5688
1717,3600
1718,9360
1723,14796
1725,6552
1729,8385
1731,6730
1734,4960
1735,18408
1740,2568
1742,4455
1745,3648
1755,798
1761,5337
1762,9648
1768,15502
1780,6730
1783,2193
1786,3861
1788,6028
1799,3269
1807,6034
1809,4464
1823,6360
1826,4816
1829,4626
1842,2408
1848,3304
1858,2778
1867,14064
1870,10716
1877,3520
1881,3416
1885,28336
1886,4914
1887,5930
1888,2304
1899,4494
1926,2898
1933,3952
1937,5860
1944,8136
1949,20700
1950,3899
1954,5446
1987,2485
1988,2870
1991,10892
1992,3105
2001,5337
2011,4624
2012,4980
2015,2552
2020,6390
2026,2436
2027,7120
2031,4630
2032,3800
2034,3500
2037,5643
2046,2508
2051,1824
2059,4250
2060,3056
2065,4268
2068,3832
2075,30544
2077,11522
2081,7735
2084,8232
2087,6369
2111,861
2120,21641
2134,26887
2137,3360
2138,1620
2143,1557
2144,5787
2165,5038
2168,705
2170,2100
2173,7358
2175,4568
2182,6215
2194,5139
2195,3025
2199,3080
2204,6930
2211,3192
2213,2613
2225,6824
2235,10236
2240,11462
2244,44324
2248,4086
2249,2024
2253,5840
2254,9232
2266,2338
2272,2706
2278,5510
2282,10386
2288,6684
2289,2358
2291,2191
2295,6072
2298,13923
2302,3240
2318,6039
2322,2072
2323,7202
2331,8184
2345,7128
2348,8218
2352,4347
2355,3032
2366,9898
2368,9660
2376,4696
2386,6888
2396,1340
2397,2513
2399,364
2401,5400
2403,4113
2406,8272
2431,4134
2432,2940
2435,13000
2441,7364
2448,2690
2455,12060
2456,5135
2461,4500
2469,22554
2474,19969
2475,2455
2480,3564
2491,12466
2496,4455
2499,4510
2501,4568
2502,2710
2503,3528
2512,3260
2513,4041
2516,2853
2526,6479
2529,6084
2535,2970
2540,11100
2542,5660
2579,1656
2587,4626
2591,8526
2597,5184
2604,3150
2609,5709
2613,3732
2616,23783
2623,4043
2632,9600
2633,5072
2636,3456
2641,7605
2643,2758
2649,20628
2650,8305
2655,3283
2656,1864
2661,4208
2668,7362
2669,4788
2670,6084
2680,7475
2684,6426
2688,4870
2692,7392
2699,2766
2701,7590
2705,2694
2708,4312
2710,5920
2713,4056
2724,9738
2728,4293
2731,2430
2735,3768
2740,5811
2745,5410
2751,19560
2765,2872
2769,5385
2773,3070
2782,4041
2800,11066
2807,1975
2812,5220
2817,18108
2820,5166
2830,7447
2832,4928
2838,5504
2840,5140
2841,12129
2851,9024
2852,8412
2865,1848
2867,3024
2869,1780
2871,6520
2872,5724
2873,3952
2875,4984
2879,3440
2881,7728
2888,10672
2896,4220
2901,3766
2907,3192
2912,5902
2915,3806
2920,4689
2939,3304
2940,7294
2943,3913
2951,5243
2955,4200
2956,7572
2964,2832
2972,7524
2977,17960
2980,3892
2984,5357
2986,4411
2996,10549
3000,6000
3004,3792
3006,9443
3015,3582
3016,5320
3021,3168
3022,7085
3023,3468
3024,6828
3033,5740
3043,3186
3055,3955
3059,3400
3060,5925
3065,6450
3067,5138
3076,5933
3086,3157
3113,4869
3115,8047
3117,4959
3129,4410
3132,4886
3135,4221
3140,6160
3144,11509
3154,6111
3170,4290
3173,2748
3174,7312
3191,2080
3192,7110
3196,2256
3197,5848
3200,2090
3215,2321
3219,10080
3222,4396
3223,6489
3236,26474
3242,10836
3243,6420
3247,27412
3252,6150
3254,2800
3257,3000
3271,1190
3274,2040
3275,6320
3278,6750
3281,5665
3283,7395
3285,30186
3293,2688
3297,2097
3301,6216
